seqname,source,feature,start,end,strand,GenBank_locus_tag,Product,gene_biotype,protein_id,name
NC_003317.1,RefSeq,pseudogene,1816261,1816664,-,BME_RS16740,glyoxalase/bleomycin resistance/extradiol dioxygenase family protein,pseudogene,NA,BME_RS16740
NC_003317.1,RefSeq,gene,1816838,1817554,-,BME_RS08810,ribonuclease PH,protein_coding,WP_004684686.1,BME_RS08810
NC_003317.1,RefSeq,gene,1817579,1817779,+,BME_RS16745,hypothetical protein,protein_coding,WP_002968678.1,BME_RS16745
NC_003317.1,RefSeq,gene,1817776,1818846,+,BME_RS08815,HrcA family transcriptional regulator,protein_coding,WP_002965420.1,hrcA
NC_003317.1,RefSeq,gene,1818952,1819632,+,BME_RS08820,nucleotide exchange factor GrpE,protein_coding,WP_002965419.1,BME_RS08820
NC_003317.1,RefSeq,gene,1819765,1820421,+,BME_RS08825,trimeric intracellular cation channel family protein,protein_coding,WP_002965418.1,BME_RS08825
NC_003317.1,RefSeq,gene,1820440,1821432,-,BME_RS08830,adenosine kinase,protein_coding,WP_002965417.1,BME_RS08830
NC_003317.1,RefSeq,gene,1821435,1821695,+,BME_RS16750,hypothetical protein,protein_coding,WP_002965415.1,BME_RS16750
NC_003317.1,RefSeq,gene,1821692,1822405,+,BME_RS08835,cysteine biosynthesis protein,protein_coding,WP_004684685.1,BME_RS08835
NC_003317.1,RefSeq,gene,1822446,1823192,-,BME_RS08840,endonuclease III,protein_coding,WP_002968115.1,BME_RS08840
NC_003317.1,RefSeq,gene,1823297,1823794,+,BME_RS08845,DUF2244 domain-containing protein,protein_coding,WP_002965412.1,BME_RS08845
NC_003317.1,RefSeq,gene,1823763,1823975,+,BME_RS16755,hypothetical protein,protein_coding,WP_002969231.1,BME_RS16755
NC_003317.1,RefSeq,gene,1824066,1824488,+,BME_RS08850,heat-shock protein Hsp20,protein_coding,WP_002965411.1,BME_RS08850
NC_003317.1,RefSeq,gene,1824594,1824839,+,BME_RS08855,DUF1150 domain-containing protein,protein_coding,WP_002968114.1,BME_RS08855
NC_003317.1,RefSeq,gene,1824920,1825384,-,BME_RS08860,PTS IIA-like nitrogen-regulatory protein PtsN,protein_coding,WP_002965409.1,BME_RS08860
NC_003317.1,RefSeq,gene,1825487,1826080,-,BME_RS08865,ribosomal subunit interface protein,protein_coding,WP_002965408.1,BME_RS08865
NC_003317.1,RefSeq,gene,1826316,1826684,+,BME_RS16760,hypothetical protein,protein_coding,WP_004684684.1,BME_RS16760
NC_003317.1,RefSeq,gene,1826830,1828332,-,BME_RS08870,RNA polymerase sigma-54 factor,protein_coding,WP_004684683.1,BME_RS08870
NC_003317.1,RefSeq,gene,1828628,1829461,-,BME_RS08875,LPS export ABC transporter ATP-binding protein,protein_coding,WP_002965405.1,BME_RS08875
NC_003317.1,RefSeq,gene,1829473,1830123,-,BME_RS08880,organic solvent tolerance protein OstA,protein_coding,WP_004686649.1,BME_RS08880
NC_003317.1,RefSeq,gene,1830411,1831133,-,BME_RS08885,LPS export ABC transporter periplasmic protein LptC,protein_coding,WP_004684681.1,BME_RS08885
NC_003317.1,RefSeq,gene,1831595,1832578,+,BME_RS08890,signal peptide peptidase SppA,protein_coding,WP_004684680.1,BME_RS08890
NC_003317.1,RefSeq,gene,1832625,1832909,+,BME_RS08895,integration host factor subunit beta,protein_coding,WP_004684679.1,BME_RS08895
NC_003317.1,RefSeq,gene,1832919,1833242,+,BME_RS08900,DUF1049 domain-containing protein,protein_coding,WP_002965400.1,BME_RS08900
NC_003317.1,RefSeq,gene,1833355,1834044,+,BME_RS16765,hypothetical protein,protein_coding,WP_004684678.1,BME_RS16765
NC_003317.1,RefSeq,gene,1834005,1834499,+,BME_RS16770,methyltransferase,protein_coding,WP_014489967.1,BME_RS16770
NC_003317.1,RefSeq,gene,1834496,1835389,+,BME_RS08910,RNA methyltransferase,protein_coding,WP_004684677.1,BME_RS08910
NC_003317.1,RefSeq,gene,1835391,1835873,+,BME_RS08915,lipoprotein signal peptidase,protein_coding,WP_002965397.1,BME_RS08915
NC_003317.1,RefSeq,gene,1836195,1837040,+,BME_RS08920,GNAT family N-acetyltransferase,protein_coding,WP_011005405.1,BME_RS08920
NC_003317.1,RefSeq,gene,1837346,1840078,-,BME_RS08925,DNA mismatch repair protein MutS,protein_coding,WP_004684675.1,BME_RS08925
NC_003317.1,RefSeq,pseudogene,1840235,1841482,+,BME_RS16775,malate dehydrogenase,pseudogene,NA,BME_RS16775
NC_003317.1,RefSeq,gene,1841470,1842528,+,BME_RS08935,phosphate acetyltransferase,protein_coding,WP_002969700.1,BME_RS08935
NC_003317.1,RefSeq,gene,1842671,1845475,+,BME_RS08940,bifunctional uridylyltransferase/uridylyl-removing protein,protein_coding,WP_002965392.1,BME_RS08940
NC_003317.1,RefSeq,gene,1845489,1847078,+,BME_RS08945,murein biosynthesis integral membrane protein MurJ,protein_coding,WP_004684673.1,BME_RS08945
NC_003317.1,RefSeq,gene,1847175,1848242,+,BME_RS08950,tryptophan--tRNA ligase,protein_coding,WP_004684672.1,BME_RS08950
NC_003317.1,RefSeq,gene,1848249,1848788,+,BME_RS08955,universal stress protein A,protein_coding,WP_002965389.1,BME_RS08955
NC_003317.1,RefSeq,gene,1848897,1849469,+,BME_RS08960,NifU family protein,protein_coding,WP_004684671.1,BME_RS08960
NC_003317.1,RefSeq,gene,1849559,1850179,-,BME_RS08965,L%2CD-transpeptidase,protein_coding,WP_002965387.1,BME_RS08965
NC_003317.1,RefSeq,gene,1850449,1850943,+,BME_RS08970,DNA repair protein MmcB-related protein,protein_coding,WP_005970225.1,BME_RS08970
NC_003317.1,RefSeq,gene,1850949,1851512,-,BME_RS08975,DNA-binding response regulator,protein_coding,WP_004684670.1,BME_RS08975
NC_003317.1,RefSeq,gene,1851472,1851675,+,BME_RS16780,hypothetical protein,protein_coding,WP_002965385.1,BME_RS16780
NC_003317.1,RefSeq,gene,1851762,1852046,-,BME_RS16785,hypothetical protein,protein_coding,WP_004684669.1,BME_RS16785
NC_003317.1,RefSeq,gene,1852112,1852504,-,BME_RS08980,IS5/IS1182 family transposase,protein_coding,WP_005970228.1,BME_RS08980
NC_003317.1,RefSeq,gene,1852501,1852869,-,BME_RS08985,IS5/IS1182 family transposase,protein_coding,WP_002969982.1,BME_RS08985
NC_003317.1,RefSeq,gene,1852939,1854231,-,BME_RS08990,sensor histidine kinase,protein_coding,WP_041594640.1,BME_RS08990
NC_003317.1,RefSeq,gene,1854326,1854907,-,BME_RS08995,hypothetical protein,protein_coding,WP_005970239.1,BME_RS08995
NC_003317.1,RefSeq,gene,1854924,1856915,-,BME_RS09000,ATP-dependent helicase HrpB,protein_coding,WP_025198990.1,BME_RS09000
NC_003317.1,RefSeq,pseudogene,1856907,1857192,+,BME_RS09005,regulator,pseudogene,NA,BME_RS09005
NC_003317.1,RefSeq,gene,1857226,1858338,+,BME_RS09010,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,protein_coding,WP_002968105.1,BME_RS09010
NC_003317.1,RefSeq,pseudogene,1858338,1858806,+,BME_RS09015,GNAT family N-acetyltransferase,pseudogene,NA,BME_RS09015
NC_003317.1,RefSeq,gene,1858806,1859462,+,BME_RS09020,DUF1345 domain-containing protein,protein_coding,WP_004686745.1,BME_RS09020
NC_003317.1,RefSeq,gene,1859470,1860306,+,BME_RS09025,S-formylglutathione hydrolase,protein_coding,WP_002965376.1,BME_RS09025
NC_003317.1,RefSeq,gene,1860625,1863066,+,BME_RS09030,DNA topoisomerase (ATP-hydrolyzing) subunit B,protein_coding,WP_004684663.1,BME_RS09030
NC_003317.1,RefSeq,gene,1863162,1865042,-,BME_RS09035,helicase,protein_coding,WP_004684662.1,BME_RS09035
NC_003317.1,RefSeq,gene,1865184,1868120,-,BME_RS09040,DNA polymerase I,protein_coding,WP_004686744.1,BME_RS09040
NC_003317.1,RefSeq,gene,1868202,1868528,-,BME_RS16790,hypothetical protein,protein_coding,WP_002965371.1,BME_RS16790
NC_003317.1,RefSeq,gene,1868681,1870096,+,BME_RS09045,dipeptidase,protein_coding,WP_004684660.1,BME_RS09045
NC_003317.1,RefSeq,gene,1870135,1870752,+,BME_RS09050,ribonuclease D,protein_coding,WP_002965369.1,BME_RS09050
NC_003317.1,RefSeq,gene,1870984,1871670,+,BME_RS09055,porin family protein,protein_coding,WP_002965368.1,BME_RS09055
NC_003317.1,RefSeq,gene,1871937,1872629,+,BME_RS09060,porin family protein,protein_coding,WP_002965367.1,BME_RS09060
NC_003317.1,RefSeq,gene,1872835,1875126,+,BME_RS09065,penicillin-binding protein,protein_coding,WP_004684659.1,BME_RS09065
NC_003317.1,RefSeq,gene,1875247,1876053,+,BME_RS09070,NAD(P)-dependent oxidoreductase,protein_coding,WP_002965365.1,BME_RS09070
NC_003317.1,RefSeq,gene,1876144,1877070,+,BME_RS09075,carbohydrate kinase,protein_coding,WP_004684658.1,BME_RS09075
NC_003317.1,RefSeq,gene,1877093,1877881,+,BME_RS09080,class I SAM-dependent methyltransferase,protein_coding,WP_004684657.1,BME_RS09080
NC_003317.1,RefSeq,gene,1877991,1878821,+,BME_RS09085,PhzF family phenazine biosynthesis protein,protein_coding,WP_004684656.1,BME_RS09085
NC_003317.1,RefSeq,gene,1878863,1880167,-,BME_RS09090,nicotinate phosphoribosyltransferase,protein_coding,WP_004684655.1,BME_RS09090
NC_003317.1,RefSeq,gene,1880257,1888860,-,BME_RS09095,DUF3131 domain-containing protein,protein_coding,WP_011005413.1,BME_RS09095
NC_003317.1,RefSeq,gene,1889246,1890325,-,BME_RS09100,sulfate/thiosulfate import ATP-binding protein CysA,protein_coding,WP_002965359.1,BME_RS09100
NC_003317.1,RefSeq,gene,1890423,1891289,-,BME_RS09105,sulfate ABC transporter permease subunit CysW,protein_coding,WP_002965358.1,BME_RS09105
NC_003317.1,RefSeq,gene,1891279,1892145,-,BME_RS09110,sulfate ABC transporter permease subunit CysT,protein_coding,WP_004684653.1,BME_RS09110
NC_003317.1,RefSeq,gene,1892240,1893268,-,BME_RS09115,sulfate ABC transporter substrate-binding protein,protein_coding,WP_004684652.1,BME_RS09115
NC_003317.1,RefSeq,gene,1893546,1894364,-,BME_RS09120,YdcF family protein,protein_coding,WP_005970254.1,BME_RS09120
NC_003317.1,RefSeq,gene,1894656,1895141,+,BME_RS09125,hypothetical protein,protein_coding,WP_004684650.1,BME_RS09125
NC_003317.1,RefSeq,gene,1895227,1895631,-,BME_RS09130,DUF930 domain-containing protein,protein_coding,WP_002965353.1,BME_RS09130
NC_003317.1,RefSeq,gene,1896284,1896520,+,BME_RS09135,AsnC family transcriptional regulator,protein_coding,WP_002965350.1,BME_RS09135
NC_003317.1,RefSeq,gene,1896697,1897071,+,BME_RS09140,response regulator,protein_coding,WP_002971750.1,BME_RS09140
NC_003317.1,RefSeq,gene,1897071,1897529,+,BME_RS09145,hypothetical protein,protein_coding,WP_005970264.1,BME_RS09145
NC_003317.1,RefSeq,gene,1897920,1899755,+,BME_RS09150,dihydroxy-acid dehydratase,protein_coding,WP_004684648.1,BME_RS09150
NC_003317.1,RefSeq,gene,1900004,1900615,-,BME_RS09155,DsbE family thiol:disulfide interchange protein,protein_coding,WP_002967079.1,BME_RS09155
NC_003317.1,RefSeq,gene,1900612,1900785,-,BME_RS09160,heme exporter protein CcmD,protein_coding,WP_002965345.1,BME_RS09160
NC_003317.1,RefSeq,gene,1900782,1901570,-,BME_RS09165,heme exporter protein C,protein_coding,WP_005974100.1,BME_RS09165
NC_003317.1,RefSeq,gene,1901625,1902290,-,BME_RS09170,heme exporter protein CcmB,protein_coding,WP_004684646.1,BME_RS09170
NC_003317.1,RefSeq,gene,1902290,1902937,-,BME_RS09175,cytochrome c biogenesis ATP-binding export protein CcmA,protein_coding,WP_004684645.1,BME_RS09175
NC_003317.1,RefSeq,gene,1903100,1903312,-,BME_RS16795,hypothetical protein,protein_coding,WP_002965340.1,BME_RS16795
NC_003317.1,RefSeq,gene,1903281,1905968,+,BME_RS09180,aconitate hydratase AcnA,protein_coding,WP_004684644.1,BME_RS09180
NC_003317.1,RefSeq,gene,1906245,1906979,+,BME_RS09185,DUF1223 domain-containing protein,protein_coding,WP_002971753.1,BME_RS09185
NC_003317.1,RefSeq,gene,1907529,1907930,+,BME_RS09190,DUF2794 domain-containing protein,protein_coding,WP_002965338.1,BME_RS09190
NC_003317.1,RefSeq,gene,1907950,1908489,-,BME_RS09195,N-acetyltransferase,protein_coding,WP_004684643.1,BME_RS09195
NC_003317.1,RefSeq,gene,1908604,1909341,-,BME_RS09200,BAX inhibitor (BI)-1/YccA family protein,protein_coding,WP_002965336.1,BME_RS09200
NC_003317.1,RefSeq,pseudogene,1909575,1912127,-,BME_RS09205,glycosyl transferase family 1,pseudogene,NA,BME_RS09205
NC_003317.1,RefSeq,pseudogene,1912124,1912851,-,BME_RS09210,ABC transporter,pseudogene,NA,BME_RS09210
NC_003317.1,RefSeq,gene,1912789,1913001,+,BME_RS09215,hypothetical protein,protein_coding,WP_002967077.1,BME_RS09215
NC_003317.1,RefSeq,gene,1912998,1913723,+,BME_RS09220,arylesterase,protein_coding,WP_002965333.1,BME_RS09220
NC_003317.1,RefSeq,gene,1913904,1914494,+,BME_RS09225,RNA 2'%2C3'-cyclic phosphodiesterase,protein_coding,WP_004684641.1,BME_RS09225
NC_003317.1,RefSeq,gene,1914404,1915009,-,BME_RS16800,low molecular weight phosphotyrosine protein phosphatase,protein_coding,WP_004686671.1,BME_RS16800
NC_003317.1,RefSeq,gene,1915236,1915529,+,BME_RS09235,4a-hydroxytetrahydrobiopterin dehydratase,protein_coding,WP_002965330.1,BME_RS09235
NC_003317.1,RefSeq,gene,1915617,1916000,+,BME_RS09240,DUF1232 domain-containing protein,protein_coding,WP_004684639.1,BME_RS09240
NC_003317.1,RefSeq,gene,1916416,1916919,+,BME_RS09245,hypothetical protein,protein_coding,WP_002965328.1,BME_RS09245
NC_003317.1,RefSeq,gene,1916865,1917059,-,BME_RS09250,hypothetical protein,protein_coding,WP_002965327.1,BME_RS09250
NC_003317.1,RefSeq,gene,1917044,1917235,-,BME_RS16805,hypothetical protein,protein_coding,WP_002965325.1,BME_RS16805
NC_003317.1,RefSeq,gene,1917179,1918414,+,BME_RS09255,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,protein_coding,WP_002968086.1,BME_RS09255
NC_003317.1,RefSeq,gene,1918448,1918951,+,BME_RS09260,hypothetical protein,protein_coding,WP_004684638.1,BME_RS09260
NC_003317.1,RefSeq,gene,1918955,1919614,-,BME_RS09265,LysE family translocator,protein_coding,WP_004684637.1,BME_RS09265
NC_003317.1,RefSeq,gene,1919801,1921021,+,BME_RS09270,argininosuccinate synthase,protein_coding,WP_002965322.1,BME_RS09270
NC_003317.1,RefSeq,gene,1921100,1921837,-,BME_RS09275,hypothetical protein,protein_coding,WP_005970282.1,BME_RS09275
NC_003317.1,RefSeq,pseudogene,1921857,1924500,-,BME_RS16810,hypothetical protein,pseudogene,NA,BME_RS16810
NC_003317.1,RefSeq,gene,1924938,1925801,+,BME_RS09290,hypothetical protein,protein_coding,WP_002965319.1,BME_RS09290
NC_003317.1,RefSeq,gene,1925827,1927278,+,BME_RS09295,DNA polymerase Y family protein,protein_coding,WP_004684633.1,BME_RS09295
NC_003317.1,RefSeq,gene,1927278,1930511,+,BME_RS09300,error-prone DNA polymerase,protein_coding,WP_004684632.1,BME_RS09300
NC_003317.1,RefSeq,gene,1930652,1931308,-,BME_RS09305,DNA-binding protein,protein_coding,WP_002965316.1,BME_RS09305
NC_003317.1,RefSeq,pseudogene,1931490,1932354,-,BME_RS09310,lytic transglycosylase,pseudogene,NA,BME_RS09310
NC_003317.1,RefSeq,gene,1932369,1932557,-,BME_RS09315,hypothetical protein,protein_coding,WP_002965314.1,BME_RS09315
NC_003317.1,RefSeq,gene,1932723,1932932,-,BME_RS09320,hypothetical protein,protein_coding,WP_002969519.1,BME_RS09320
NC_003317.1,RefSeq,gene,1933000,1933191,-,BME_RS09325,hypothetical protein,protein_coding,WP_002965311.1,BME_RS09325
NC_003317.1,RefSeq,gene,1933211,1933900,-,BME_RS09330,FAA hydrolase family protein,protein_coding,WP_004684631.1,BME_RS09330
NC_003317.1,RefSeq,gene,1934000,1934698,-,BME_RS09335,nucleoside/nucleotide kinase family protein,protein_coding,WP_005970288.1,BME_RS09335
NC_003317.1,RefSeq,gene,1934771,1935694,-,BME_RS09340,alpha/beta hydrolase,protein_coding,WP_004684629.1,BME_RS09340
NC_003317.1,RefSeq,gene,1935819,1936712,+,BME_RS09345,LysR family transcriptional regulator,protein_coding,WP_004684628.1,BME_RS09345
NC_003317.1,RefSeq,gene,1936687,1936872,+,BME_RS16815,hypothetical protein,protein_coding,WP_002969226.1,BME_RS16815
NC_003317.1,RefSeq,gene,1936928,1938559,+,BME_RS09350,alpha-D-glucose phosphate-specific phosphoglucomutase,protein_coding,WP_004686741.1,BME_RS09350
NC_003317.1,RefSeq,gene,1938740,1939903,-,BME_RS09355,Fe-S-binding ATPase,protein_coding,WP_002968080.1,BME_RS09355
NC_003317.1,RefSeq,gene,1940100,1940495,+,BME_RS09360,lactoylglutathione lyase,protein_coding,WP_004684625.1,BME_RS09360
NC_003317.1,RefSeq,gene,1940548,1940751,+,BME_RS16820,hypothetical protein,protein_coding,WP_075589502.1,BME_RS16820
NC_003317.1,RefSeq,gene,1940748,1941146,+,BME_RS09365,hypothetical protein,protein_coding,WP_004684624.1,BME_RS09365
NC_003317.1,RefSeq,gene,1941281,1942285,+,BME_RS09370,DUF1775 domain-containing protein,protein_coding,WP_002965301.1,BME_RS09370
NC_003317.1,RefSeq,gene,1942296,1942502,+,BME_RS16825,hypothetical protein,protein_coding,WP_002965300.1,BME_RS16825
NC_003317.1,RefSeq,gene,1942839,1943342,+,BME_RS09375,hypothetical protein,protein_coding,WP_002969517.1,BME_RS09375
NC_003317.1,RefSeq,gene,1943412,1943627,+,BME_RS09380,hypothetical protein,protein_coding,WP_002965298.1,BME_RS09380
NC_003317.1,RefSeq,gene,1943678,1944403,-,BME_RS09385,L%2CD-transpeptidase,protein_coding,WP_002965297.1,BME_RS09385
NC_003317.1,RefSeq,gene,1944548,1949287,-,BME_RS09390,translocation/assembly module TamB,protein_coding,WP_005970293.1,BME_RS09390
NC_003317.1,RefSeq,gene,1949284,1951203,-,BME_RS09395,outer membrane protein assembly factor,protein_coding,WP_005970295.1,BME_RS09395
NC_003317.1,RefSeq,gene,1951688,1952386,-,BME_RS09400,SH3 domain-containing protein,protein_coding,WP_004684621.1,BME_RS09400
NC_003317.1,RefSeq,pseudogene,1952562,1952841,+,BME_RS16830,hypothetical protein,pseudogene,NA,BME_RS16830
NC_003317.1,RefSeq,gene,1952838,1953203,-,BME_RS09405,cytochrome o ubiquinol oxidase subunit IV,protein_coding,WP_004684619.1,BME_RS09405
NC_003317.1,RefSeq,gene,1953203,1953832,-,BME_RS09410,cytochrome o ubiquinol oxidase subunit III,protein_coding,WP_004684618.1,BME_RS09410
NC_003317.1,RefSeq,gene,1953836,1955815,-,BME_RS09415,cytochrome o ubiquinol oxidase subunit I,protein_coding,WP_004684617.1,BME_RS09415
NC_003317.1,RefSeq,gene,1955895,1956908,-,BME_RS09420,ubiquinol oxidase subunit II,protein_coding,WP_002971777.1,BME_RS09420
NC_003317.1,RefSeq,gene,1957447,1958412,+,BME_RS09425,hypothetical protein,protein_coding,WP_005970297.1,BME_RS09425
NC_003317.1,RefSeq,gene,1958457,1959065,-,BME_RS09430,cytochrome c family protein,protein_coding,WP_004684614.1,BME_RS09430
NC_003317.1,RefSeq,gene,1959443,1960198,+,BME_RS09435,3-deoxy-manno-octulosonate cytidylyltransferase,protein_coding,WP_002971781.1,BME_RS09435
NC_003317.1,RefSeq,gene,1960287,1961150,+,BME_RS09440,prephenate dehydratase,protein_coding,WP_004684613.1,BME_RS09440
NC_003317.1,RefSeq,pseudogene,1961151,1962097,-,BME_RS09445,NADH pyrophosphatase,pseudogene,NA,BME_RS09445
NC_003317.1,RefSeq,gene,1962126,1962530,-,BME_RS09450,HIT family protein,protein_coding,WP_002965282.1,BME_RS09450
NC_003317.1,RefSeq,gene,1962601,1962698,+,BME_RS16835,signal recognition particle sRNA small type,SRP_RNA,NA,ffs
NC_003317.1,RefSeq,gene,1962812,1964620,+,BME_RS09455,DNA polymerase III subunit gamma/tau,protein_coding,WP_004684612.1,BME_RS09455
NC_003317.1,RefSeq,gene,1964645,1964968,+,BME_RS09460,YbaB/EbfC family nucleoid-associated protein,protein_coding,WP_002965280.1,BME_RS09460
NC_003317.1,RefSeq,gene,1965099,1965704,+,BME_RS09465,recombination protein RecR,protein_coding,WP_004684611.1,BME_RS09465
NC_003317.1,RefSeq,gene,1965720,1967003,+,BME_RS09470,lytic murein transglycosylase,protein_coding,WP_002968069.1,BME_RS09470
NC_003317.1,RefSeq,pseudogene,1967039,1967615,+,BME_RS16840,hypothetical protein,pseudogene,NA,BME_RS16840
NC_003317.1,RefSeq,gene,1967609,1968508,-,BME_RS09475,LysR family transcriptional regulator,protein_coding,WP_004684609.1,BME_RS09475
NC_003317.1,RefSeq,gene,1968615,1969634,+,BME_RS09480,putative sulfate exporter family transporter,protein_coding,WP_002971785.1,BME_RS09480
NC_003317.1,RefSeq,gene,1970052,1971752,-,BME_RS09485,30S ribosomal protein S1,protein_coding,WP_002965274.1,BME_RS09485
NC_003317.1,RefSeq,gene,1971687,1971935,+,BME_RS16845,hypothetical protein,protein_coding,WP_004686737.1,BME_RS16845
NC_003317.1,RefSeq,gene,1971968,1972627,-,BME_RS09490,cytidylate kinase,protein_coding,WP_004684608.1,BME_RS09490
NC_003317.1,RefSeq,gene,1972624,1973976,-,BME_RS09495,3-phosphoshikimate 1-carboxyvinyltransferase,protein_coding,WP_004684607.1,BME_RS09495
NC_003317.1,RefSeq,gene,1974361,1974744,+,BME_RS09500,TIGR02300 family protein,protein_coding,WP_002965271.1,BME_RS09500
NC_003317.1,RefSeq,gene,1974970,1975045,+,BME_RS09505,tRNA-Ala,tRNA,NA,BME_RS09505
NC_003317.1,RefSeq,gene,1975267,1976388,+,BME_RS09510,acyltransferase,protein_coding,WP_002965270.1,BME_RS09510
NC_003317.1,RefSeq,gene,1976565,1976999,+,BME_RS09515,CHRD domain-containing protein,protein_coding,WP_004684606.1,BME_RS09515
NC_003317.1,RefSeq,gene,1977184,1978164,+,BME_RS16850,acetoacetyl-CoA synthetase,protein_coding,WP_005970307.1,BME_RS16850
NC_003317.1,RefSeq,gene,1978165,1979172,+,BME_RS16855,acetoacetate--CoA ligase,protein_coding,WP_004684605.1,BME_RS16855
NC_003317.1,RefSeq,gene,1979319,1980497,+,BME_RS09525,isovaleryl-CoA dehydrogenase,protein_coding,WP_004686736.1,BME_RS09525
NC_003317.1,RefSeq,gene,1980497,1982104,+,BME_RS09530,methylcrotonoyl-CoA carboxylase,protein_coding,WP_004684603.1,BME_RS09530
NC_003317.1,RefSeq,gene,1982116,1984137,+,BME_RS09535,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,protein_coding,WP_005970312.1,BME_RS09535
NC_003317.1,RefSeq,gene,1984130,1984993,+,BME_RS09540,hydroxymethylglutaryl-CoA lyase,protein_coding,WP_004684602.1,BME_RS09540
NC_003317.1,RefSeq,pseudogene,1984990,1985782,+,BME_RS16860,enoyl-CoA hydratase,pseudogene,NA,BME_RS16860
NC_003317.1,RefSeq,gene,1985779,1985979,-,BME_RS16865,hypothetical protein,protein_coding,WP_080019271.1,BME_RS16865
NC_003317.1,RefSeq,gene,1986073,1986294,-,BME_RS16870,hypothetical protein,protein_coding,WP_004689359.1,BME_RS16870
NC_003317.1,RefSeq,gene,1986251,1987357,+,BME_RS09555,branched chain amino acid ABC transporter substrate-binding protein,protein_coding,WP_004684599.1,BME_RS09555
NC_003317.1,RefSeq,gene,1987622,1987972,+,BME_RS09560,hypothetical protein,protein_coding,WP_004684598.1,BME_RS09560
NC_003317.1,RefSeq,gene,1988012,1988212,+,BME_RS09565,hypothetical protein,protein_coding,WP_002967056.1,BME_RS09565
NC_003317.1,RefSeq,gene,1988258,1988581,+,BME_RS16875,hypothetical protein,protein_coding,WP_002965258.1,BME_RS16875
NC_003317.1,RefSeq,gene,1988812,1990680,+,BME_RS09570,ABC transporter substrate-binding protein,protein_coding,WP_004684597.1,BME_RS09570
NC_003317.1,RefSeq,gene,1990694,1992532,+,BME_RS09575,ABC transporter substrate-binding protein,protein_coding,WP_004684596.1,BME_RS09575
NC_003317.1,RefSeq,gene,1992644,1993741,+,BME_RS09580,microcin C ABC transporter permease YejB,protein_coding,WP_004684595.1,BME_RS09580
NC_003317.1,RefSeq,gene,1993741,1994880,+,BME_RS09585,ABC transporter permease,protein_coding,WP_002965254.1,BME_RS09585
NC_003317.1,RefSeq,gene,1994904,1996529,+,BME_RS09590,ABC transporter ATP-binding protein,protein_coding,WP_005970325.1,BME_RS09590
NC_003317.1,RefSeq,gene,1996526,1997482,+,BME_RS09595,glyoxylate/hydroxypyruvate reductase A,protein_coding,WP_004684593.1,BME_RS09595
NC_003317.1,RefSeq,gene,1997499,1998281,-,BME_RS09600,molybdopterin-synthase adenylyltransferase MoeB,protein_coding,WP_002965251.1,BME_RS09600
NC_003317.1,RefSeq,gene,1998319,1999473,-,BME_RS09605,DNA replication and repair protein RecF,protein_coding,WP_002965250.1,BME_RS09605
NC_003317.1,RefSeq,gene,1999655,2000773,-,BME_RS09610,DNA polymerase III subunit beta,protein_coding,WP_006163792.1,BME_RS09610
NC_003317.1,RefSeq,gene,2001077,2002717,-,BME_RS09615,chromosomal replication initiator protein DnaA,protein_coding,WP_002970905.1,BME_RS09615
NC_003317.1,RefSeq,gene,2003557,2003823,-,BME_RS09620,30S ribosomal protein S20,protein_coding,WP_002965247.1,BME_RS09620
NC_003317.1,RefSeq,pseudogene,2003908,2004106,-,BME_RS09625,hypothetical protein,pseudogene,NA,BME_RS09625
NC_003317.1,RefSeq,gene,2004160,2004933,-,BME_RS09630,enoyl-CoA hydratase,protein_coding,WP_004686734.1,BME_RS09630
NC_003317.1,RefSeq,gene,2005060,2005941,-,BME_RS09635,formamidopyrimidine-DNA glycosylase,protein_coding,WP_002965245.1,BME_RS09635
NC_003317.1,RefSeq,gene,2006161,2006340,+,BME_RS09640,pilus biosynthesis protein,protein_coding,WP_002965244.1,BME_RS09640
NC_003317.1,RefSeq,gene,2006500,2007882,+,BME_RS09645,leucyl aminopeptidase,protein_coding,WP_004684589.1,BME_RS09645
NC_003317.1,RefSeq,gene,2007957,2008307,+,BME_RS09650,MarR family transcriptional regulator,protein_coding,WP_002968054.1,BME_RS09650
NC_003317.1,RefSeq,gene,2008304,2009176,+,BME_RS09655,peptidase P60,protein_coding,WP_002967050.1,BME_RS09655
NC_003317.1,RefSeq,gene,2009198,2009899,+,BME_RS09660,alpha/beta hydrolase,protein_coding,WP_002967049.1,BME_RS09660
NC_003317.1,RefSeq,gene,2009924,2010928,-,BME_RS09665,D-glycerate dehydrogenase,protein_coding,WP_002965239.1,BME_RS09665
NC_003317.1,RefSeq,gene,2011279,2011824,+,BME_RS09670,hypothetical protein,protein_coding,WP_004684588.1,BME_RS09670
NC_003317.1,RefSeq,gene,2011869,2012648,-,BME_RS09675,MetQ/NlpA family ABC transporter substrate-binding protein,protein_coding,WP_004684587.1,BME_RS09675
NC_003317.1,RefSeq,gene,2012814,2013251,-,BME_RS09680,transcriptional repressor,protein_coding,WP_002971804.1,BME_RS09680
NC_003317.1,RefSeq,gene,2013503,2014021,+,BME_RS09685,beta-hydroxydecanoyl-ACP dehydratase,protein_coding,WP_002968051.1,BME_RS09685
